name,uox
id,snf
pkg_diameter,1.19
pkg_length,5
n_wf,12
5,20352
5.1,20040
5.5,18936
5.75,18348
6,17808
8,14988
10,13464
11.5,12696
15,11439.6
20,10198.8
23,9588
25,9214.8
30,8376
35,7645.2
40,7003.2
45,6436.8
50,5934
60,5090.4
70,4418.4
80,3878.4
90,3441.6
100,3086.4
125,2446.8
150,2036.4
175,1761.6
200,1564.8
225,1419.6
250,1305.6
300,1137
350,1015.8
400,922.8
450,848.28
500,786.6
600,689.4
700,614.76
800,554.88
900,505.32
1000,463.68
1250,384.6
1500,330.6
1750,293.16
2000,266.64
2250,247.68
2500,233.64
3000,214.56
4000,192.48
5000,177.6
6000,165
7000,153.72
8000,143.52
9000,134.28
10000,125.76
20000,71.052
50000,24.768
100000,10.0332
200000,6.5568
500000,5.226
1000000,3.4752
