name,mox
id,snf
pkg_diameter,0.72
pkg_length,5
n_wf,2
5,6892
5.1,6834
5.5,6632
5.75,6524
6,6428
8,5926
10,5644
11.5,5488
15,5204
20,4882
23,4714
25,4610
30,4368
35,4152
40,3960
45,3786
50,3628
60,3358
70,3132
80,2942
90,2780
100,2638
125,2358
150,2142
175,1969.8
200,1826.8
225,1705.4
250,1600.4
300,1427.6
350,1290.4
400,1178.4
450,1084.6
500,1004.4
600,873.2
700,769.4
800,684.2
900,613
1000,553
1250,439
1500,361.8
1750,308.6
2000,271.8
2250,245.8
2500,227.2
3000,203
4000,177.76
5000,162.4
6000,149.96
7000,138.94
8000,129
9000,119.96
10000,111.72
20000,59.76
50000,19.142
100000,7.7
200000,5.11
500000,4.096
1000000,2.672
