name,uox
id,snf
pkg_diameter,0.72
pkg_length,5
n_wf,3
5,5088
5.1,5010
5.5,4734
5.75,4587
6,4452
8,3747
10,3366
11.5,3174
15,2859.9
20,2549.7
23,2397
25,2303.7
30,2094
35,1911.3
40,1750.8
45,1609.2
50,1483.5
60,1272.6
70,1104.6
80,969.6
90,860.4
100,771.6
125,611.7
150,509.1
175,440.4
200,391.2
225,354.9
250,326.4
300,284.25
350,253.95
400,230.7
450,212.07
500,196.65
600,172.35
700,153.69
800,138.72
900,126.33
1000,115.92
1250,96.15
1500,82.65
1750,73.29
2000,66.66
2250,61.92
2500,58.41
3000,53.64
4000,48.12
5000,44.4
6000,41.25
7000,38.43
8000,35.88
9000,33.57
10000,31.44
20000,17.763
50000,6.192
100000,2.5083
200000,1.6392
500000,1.3065
1000000,0.8688
