isotope,SNF (g),FP1 (g)
H1,1.66E+00,0.00E+00
H2,1.11E-04,0.00E+00
H3,5.89E-04,0.00E+00
HE3,1.18E-07,0.00E+00
HE4,1.87E-01,0.00E+00
HE6,1.15E-07,0.00E+00
LI6,0.00E+00,0.00E+00
LI7,0.00E+00,0.00E+00
LI8,0.00E+00,0.00E+00
BE8,0.00E+00,0.00E+00
BE9,0.00E+00,0.00E+00
BE10,0.00E+00,0.00E+00
BE11,0.00E+00,0.00E+00
B10,2.31E-10,0.00E+00
B11,3.59E-07,0.00E+00
B12,5.55E-18,0.00E+00
C12,5.39E-08,0.00E+00
C13,1.46E-05,0.00E+00
C14,6.04E-10,0.00E+00
C15,1.97E-16,0.00E+00
N13,1.66E-21,0.00E+00
N14,2.48E-08,0.00E+00
N15,5.41E-02,0.00E+00
N16,8.57E-06,0.00E+00
O16,1.23E+02,0.00E+00
O17,1.39E-04,0.00E+00
O18,1.17E-03,0.00E+00
O19,2.82E-06,0.00E+00
F19,0.00E+00,0.00E+00
F20,0.00E+00,0.00E+00
NE20,3.24E-01,0.00E+00
NE21,1.75E-07,0.00E+00
NE22,1.13E-12,0.00E+00
NE23,3.11E-22,0.00E+00
NA22,2.25E-30,0.00E+00
NA23,3.75E-19,0.00E+00
NA24,7.69E-25,0.00E+00
NA24M,5.27E-31,0.00E+00
MG24,4.54E-25,0.00E+00
MG25,2.63E-31,0.00E+00
CR66,7.89E-18,0.00E+00
CR67,7.83E-18,0.00E+00
MN66,3.38E-15,0.00E+00
MN67,1.17E-15,0.00E+00
MN68,4.56E-16,0.00E+00
MN69,6.67E-17,0.00E+00
FE65,7.36E-15,0.00E+00
FE66,5.90E-13,0.00E+00
FE67,4.66E-13,0.00E+00
FE68,1.66E-13,0.00E+00
FE69,5.34E-14,0.00E+00
FE70,2.19E-14,0.00E+00
FE71,8.72E-15,0.00E+00
FE72,1.25E-15,0.00E+00
CO65,6.80E-15,0.00E+00
CO66,8.86E-13,0.00E+00
CO67,2.37E-12,0.00E+00
CO68,1.36E-12,0.00E+00
CO69,1.89E-12,0.00E+00
CO70,9.77E-13,0.00E+00
CO71,6.57E-13,0.00E+00
CO72,1.81E-13,0.00E+00
CO73,4.10E-14,0.00E+00
CO74,6.92E-15,0.00E+00
CO75,1.05E-15,0.00E+00
NI65,5.13E-11,0.00E+00
NI66,6.17E-07,0.00E+00
NI67,2.15E-10,0.00E+00
NI68,6.66E-10,0.00E+00
NI69,5.27E-10,0.00E+00
NI70,7.64E-10,0.00E+00
NI71,7.08E-10,0.00E+00
NI72,4.89E-10,0.00E+00
NI73,1.57E-10,0.00E+00
NI74,5.56E-11,0.00E+00
NI75,1.61E-11,0.00E+00
NI76,1.18E-12,0.00E+00
NI77,5.99E-14,0.00E+00
NI78,5.36E-15,0.00E+00
CU65,9.67E-10,0.00E+00
CU66,9.74E-10,0.00E+00
CU67,1.29E-06,0.00E+00
CU68,7.53E-10,0.00E+00
CU68M,2.20E-10,0.00E+00
CU69,9.51E-09,0.00E+00
CU70,4.76E-09,0.00E+00
CU70M,4.52E-09,0.00E+00
CU71,1.28E-08,0.00E+00
CU72,7.60E-09,0.00E+00
CU73,8.46E-09,0.00E+00
CU74,2.73E-09,0.00E+00
CU75,2.57E-09,0.00E+00
CU76,5.09E-10,0.00E+00
CU77,1.24E-10,0.00E+00
CU78,1.57E-11,0.00E+00
CU79,1.09E-12,0.00E+00
CU80,1.19E-14,0.00E+00
ZN66,3.29E-07,0.00E+00
ZN67,5.91E-07,0.00E+00
ZN68,4.38E-06,0.00E+00
ZN69,1.90E-07,0.00E+00
ZN69M,1.62E-08,0.00E+00
ZN70,3.33E-05,0.00E+00
ZN71,9.94E-08,0.00E+00
ZN71M,1.15E-06,0.00E+00
ZN72,2.12E-04,0.00E+00
ZN73,1.22E-07,0.00E+00
ZN74,1.11E-06,0.00E+00
ZN75,2.70E-07,0.00E+00
ZN76,1.93E-07,0.00E+00
ZN77,5.01E-08,0.00E+00
ZN78,2.26E-08,0.00E+00
ZN79,4.51E-09,0.00E+00
ZN80,4.62E-10,0.00E+00
ZN81,3.21E-11,0.00E+00
ZN82,1.16E-12,0.00E+00
ZN83,2.63E-14,0.00E+00
GA66,2.87E-16,0.00E+00
GA67,7.00E-14,0.00E+00
GA68,7.69E-14,0.00E+00
GA69,9.85E-06,0.00E+00
GA70,3.90E-11,0.00E+00
GA71,1.35E-04,0.00E+00
GA72,5.16E-05,0.00E+00
GA73,9.41E-05,0.00E+00
GA74,6.11E-06,0.00E+00
GA74M,5.71E-09,0.00E+00
GA75,4.68E-06,0.00E+00
GA76,1.96E-06,0.00E+00
GA77,1.21E-06,0.00E+00
GA78,5.22E-07,0.00E+00
GA79,2.97E-07,0.00E+00
GA80,7.43E-08,0.00E+00
GA81,2.97E-08,0.00E+00
GA82,5.35E-09,0.00E+00
GA83,2.52E-10,0.00E+00
GA84,3.27E-10,0.00E+00
GA85,3.61E-13,0.00E+00
GA86,3.38E-13,0.00E+00
GE67,1.35E-28,0.00E+00
GE68,4.13E-16,0.00E+00
GE69,1.95E-14,0.00E+00
GE70,4.51E-09,0.00E+00
GE71,3.56E-10,0.00E+00
GE71M,9.39E-18,0.00E+00
GE72,4.74E-02,0.00E+00
GE73,3.33E-01,0.00E+00
GE73M,1.96E-10,0.00E+00
GE74,1.46E+00,0.00E+00
GE75,1.89E-04,0.00E+00
GE75M,3.40E-08,0.00E+00
GE76,6.81E+00,0.00E+00
GE77,4.98E-03,0.00E+00
GE77M,2.65E-07,0.00E+00
GE78,1.40E-03,0.00E+00
GE79,7.59E-06,0.00E+00
GE79M,1.11E-05,0.00E+00
GE80,2.90E-05,0.00E+00
GE81,5.72E-06,0.00E+00
GE82,2.22E-06,0.00E+00
GE83,3.07E-07,0.00E+00
GE84,1.01E-07,0.00E+00
GE85,5.55E-09,0.00E+00
GE86,1.86E-08,0.00E+00
GE87,1.15E-10,0.00E+00
GE88,1.35E-12,0.00E+00
GE89,5.38E-15,0.00E+00
AS71,4.65E-15,0.00E+00
AS72,1.92E-13,0.00E+00
AS73,6.76E-11,0.00E+00
AS74,2.16E-08,0.00E+00
AS75,2.77E+00,0.00E+00
AS75M,1.01E-12,0.00E+00
AS76,8.92E-04,0.00E+00
AS77,1.11E-02,0.00E+00
AS78,1.47E-03,0.00E+00
AS79,3.90E-04,0.00E+00
AS80,1.82E-05,0.00E+00
AS81,6.02E-05,0.00E+00
AS82,2.57E-05,0.00E+00
AS82M,1.12E-05,0.00E+00
AS83,3.58E-05,0.00E+00
AS84,3.33E-06,0.00E+00
AS85,1.36E-06,0.00E+00
AS86,4.40E-07,0.00E+00
AS87,2.44E-08,0.00E+00
AS88,5.20E-09,0.00E+00
AS89,1.56E-11,0.00E+00
AS90,8.13E-13,0.00E+00
AS91,1.75E-14,0.00E+00
AS92,6.94E-16,0.00E+00
SE72,2.53E-27,9.55E-21
SE73,5.51E-19,2.08E-12
SE73M,1.03E-20,3.90E-14
SE74,8.17E-13,3.08E-06
SE75,1.02E-13,3.87E-07
SE76,2.06E-06,7.77E+00
SE77,1.31E-05,4.94E+01
SE77M,8.75E-12,3.30E-05
SE78,8.55E-05,3.22E+02
SE79,2.41E-04,9.11E+02
SE79M,2.98E-07,1.12E+00
SE80,4.08E-04,1.54E+03
SE81,4.01E-06,1.51E+01
SE81M,7.87E-07,2.97E+00
SE82,1.05E-03,3.97E+03
SE83,1.20E-05,4.53E+01
SE83M,6.53E-08,2.46E-01
SE84,2.83E-06,1.07E+01
SE85,4.18E-07,1.58E+00
SE86,1.44E-07,5.45E-01
SE87,2.27E-08,8.55E-02
SE88,2.28E-09,8.61E-03
SE89,1.03E-10,3.90E-04
SE90,1.26E-11,4.74E-05
SE91,3.74E-13,1.41E-06
SE92,1.72E-14,6.50E-08
SE93,8.67E-15,3.27E-08
SE94,8.02E-18,3.02E-11
BR75,2.19E-20,8.27E-14
BR77,1.27E-14,4.81E-08
BR77M,2.11E-17,7.96E-11
BR78,3.76E-15,1.42E-08
BR79,1.22E-03,4.51E-01
