isotope,Batch1-charged (g),Batch3-discharged (g),Batch4-charged (g),Batch5-discharged (g),Batch6-charged (g),Batch7-discharged (g),Batch8-charged (g),Batch8-discharged (g)
H3,5.38E-22,1.19E-01,0.00E+00,2.93E-01,0.00E+00,3.22E-01,0.00E+00,1.65E-01
HE4,5.38E-22,1.05E+00,5.69E-22,5.81E+00,6.50E-22,1.41E+01,7.64E-22,5.80E+00
LI6,5.38E-22,8.02E-04,8.38E-04,2.38E-03,2.69E-03,3.58E-03,4.16E-03,4.26E-03
LI7,5.38E-22,2.09E-05,2.19E-05,7.66E-05,8.65E-05,1.51E-04,1.75E-04,2.01E-04
BE9,5.38E-22,3.98E-05,4.16E-05,1.42E-04,1.60E-04,2.68E-04,3.11E-04,3.52E-04
BE10,5.38E-22,2.70E-04,2.82E-04,9.88E-04,1.12E-03,1.95E-03,2.26E-03,2.61E-03
C14,5.38E-22,5.45E-05,5.68E-05,1.99E-04,2.25E-04,3.93E-04,4.56E-04,5.25E-04
CO72,5.38E-22,1.54E-12,0.00E+00,2.08E-12,0.00E+00,1.45E-12,0.00E+00,1.17E-12
CO73,5.38E-22,4.78E-13,0.00E+00,6.34E-13,0.00E+00,4.32E-13,0.00E+00,3.45E-13
CO74,5.38E-22,8.41E-14,0.00E+00,1.09E-13,0.00E+00,7.25E-14,0.00E+00,5.74E-14
CO75,5.38E-22,8.39E-15,0.00E+00,1.09E-14,0.00E+00,7.17E-15,0.00E+00,5.66E-15
NI66,5.38E-22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
NI72,5.38E-22,6.39E-10,0.00E+00,9.28E-10,0.00E+00,6.92E-10,0.00E+00,5.68E-10
NI73,5.38E-22,7.66E-11,0.00E+00,1.05E-10,0.00E+00,7.49E-11,0.00E+00,6.05E-11
NI74,5.38E-22,7.17E-11,0.00E+00,9.58E-11,0.00E+00,6.57E-11,0.00E+00,5.25E-11
NI75,5.38E-22,7.90E-12,0.00E+00,1.04E-11,0.00E+00,7.04E-12,0.00E+00,5.60E-12
NI76,5.38E-22,2.87E-12,0.00E+00,3.77E-12,0.00E+00,2.54E-12,0.00E+00,2.02E-12
NI77,5.38E-22,2.04E-13,0.00E+00,2.63E-13,0.00E+00,1.73E-13,0.00E+00,1.37E-13
NI78,5.38E-22,3.26E-14,0.00E+00,4.20E-14,0.00E+00,2.76E-14,0.00E+00,2.18E-14
CU66,5.38E-22,1.18E-13,0.00E+00,1.99E-13,0.00E+00,1.67E-13,0.00E+00,1.42E-13
CU67,5.38E-22,4.94E-18,0.00E+00,1.26E-17,0.00E+00,9.31E-18,0.00E+00,6.37E-18
CU72,5.38E-22,3.89E-09,0.00E+00,5.96E-09,0.00E+00,4.61E-09,0.00E+00,3.83E-09
CU73,5.38E-22,2.42E-09,0.00E+00,3.53E-09,0.00E+00,2.65E-09,0.00E+00,2.17E-09
CU74,5.38E-22,4.38E-10,0.00E+00,6.25E-10,0.00E+00,4.56E-10,0.00E+00,3.73E-10
CU75,5.38E-22,5.03E-10,0.00E+00,6.98E-10,0.00E+00,4.98E-10,0.00E+00,4.03E-10
CU76,5.38E-22,9.27E-11,0.00E+00,1.28E-10,0.00E+00,9.04E-11,0.00E+00,7.30E-11
CU77,5.38E-22,6.02E-11,0.00E+00,8.00E-11,0.00E+00,5.45E-11,0.00E+00,4.35E-11
CU78,5.38E-22,8.37E-12,0.00E+00,1.10E-11,0.00E+00,7.45E-12,0.00E+00,5.92E-12
CU79,5.38E-22,4.22E-12,0.00E+00,5.44E-12,0.00E+00,3.57E-12,0.00E+00,2.81E-12
CU80,5.38E-22,2.70E-13,0.00E+00,3.48E-13,0.00E+00,2.28E-13,0.00E+00,1.80E-13
CU81,5.38E-22,1.82E-14,0.00E+00,2.34E-14,0.00E+00,1.52E-14,0.00E+00,1.19E-14
ZN66,5.38E-22,7.42E-08,7.75E-08,2.77E-07,3.13E-07,5.62E-07,6.52E-07,7.58E-07
ZN67,5.38E-22,3.55E-09,3.71E-09,1.33E-08,1.50E-08,2.63E-08,3.05E-08,3.52E-08
ZN68,5.38E-22,2.38E-11,2.49E-11,2.67E-10,3.02E-10,1.02E-09,1.18E-09,1.66E-09
ZN69,5.38E-22,8.30E-19,0.00E+00,1.41E-17,0.00E+00,4.71E-17,0.00E+00,6.20E-17
ZN69M,5.38E-22,8.08E-19,0.00E+00,1.37E-17,0.00E+00,4.59E-17,0.00E+00,6.04E-17
ZN70,5.38E-22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ZN71,5.38E-22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ZN71M,5.38E-22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ZN72,5.38E-22,1.41E-04,0.00E+00,2.20E-04,0.00E+00,1.72E-04,0.00E+00,1.43E-04
ZN73,5.38E-22,2.80E-08,0.00E+00,4.31E-08,0.00E+00,3.34E-08,0.00E+00,2.78E-08
ZN74,5.38E-22,2.01E-07,0.00E+00,3.06E-07,0.00E+00,2.34E-07,0.00E+00,1.94E-07
ZN75,5.38E-22,2.77E-08,0.00E+00,4.17E-08,0.00E+00,3.17E-08,0.00E+00,2.63E-08
ZN76,5.38E-22,2.21E-08,0.00E+00,3.32E-08,0.00E+00,2.53E-08,0.00E+00,2.09E-08
ZN77,5.38E-22,5.86E-09,0.00E+00,8.51E-09,0.00E+00,6.28E-09,0.00E+00,5.15E-09
ZN78,5.38E-22,7.31E-09,0.00E+00,1.03E-08,0.00E+00,7.48E-09,0.00E+00,6.09E-09
ZN79,5.38E-22,1.19E-09,0.00E+00,1.57E-09,0.00E+00,1.07E-09,0.00E+00,8.49E-10
ZN80,5.38E-22,7.06E-10,0.00E+00,9.30E-10,0.00E+00,6.28E-10,0.00E+00,5.00E-10
ZN81,5.38E-22,3.64E-11,0.00E+00,4.70E-11,0.00E+00,3.09E-11,0.00E+00,2.44E-11
ZN82,5.38E-22,5.68E-12,0.00E+00,7.31E-12,0.00E+00,4.79E-12,0.00E+00,3.77E-12
ZN83,5.38E-22,3.55E-13,0.00E+00,4.56E-13,0.00E+00,2.97E-13,0.00E+00,2.34E-13
GA69,5.38E-22,1.86E-14,1.95E-14,5.95E-13,6.72E-13,4.16E-12,4.84E-12,8.18E-12
GA70,5.38E-22,0.00E+00,0.00E+00,5.48E-20,0.00E+00,3.38E-19,0.00E+00,5.35E-19
GA71,5.38E-22,1.30E-05,1.35E-05,4.83E-05,5.46E-05,9.38E-05,1.09E-04,1.24E-04
GA72,5.38E-22,4.31E-05,0.00E+00,6.70E-05,0.00E+00,5.23E-05,0.00E+00,4.37E-05
GA73,5.38E-22,2.25E-05,0.00E+00,3.46E-05,0.00E+00,2.69E-05,0.00E+00,2.24E-05
GA74,5.38E-22,1.13E-06,0.00E+00,1.73E-06,0.00E+00,1.33E-06,0.00E+00,1.11E-06
GA75,5.38E-22,4.45E-07,0.00E+00,6.80E-07,0.00E+00,5.22E-07,0.00E+00,4.34E-07
GA76,5.38E-22,1.88E-07,0.00E+00,2.91E-07,0.00E+00,2.26E-07,0.00E+00,1.88E-07
GA77,5.38E-22,1.47E-07,0.00E+00,2.26E-07,0.00E+00,1.74E-07,0.00E+00,1.45E-07
GA78,5.38E-22,6.40E-08,0.00E+00,9.82E-08,0.00E+00,7.57E-08,0.00E+00,6.30E-08
GA79,5.38E-22,5.30E-08,0.00E+00,7.59E-08,0.00E+00,5.55E-08,0.00E+00,4.53E-08
GA80,5.38E-22,2.22E-08,0.00E+00,3.13E-08,0.00E+00,2.27E-08,0.00E+00,1.85E-08
GA81,5.38E-22,6.82E-09,0.00E+00,9.11E-09,0.00E+00,6.22E-09,0.00E+00,4.97E-09
GA82,5.38E-22,6.58E-10,0.00E+00,8.68E-10,0.00E+00,5.83E-10,0.00E+00,4.63E-10
GA83,5.38E-22,1.98E-10,0.00E+00,2.58E-10,0.00E+00,1.71E-10,0.00E+00,1.36E-10
GA84,5.38E-22,2.43E-11,0.00E+00,3.14E-11,0.00E+00,2.06E-11,0.00E+00,1.62E-11
GA85,5.38E-22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
GE70,5.38E-22,5.38E-17,5.62E-17,4.80E-15,5.42E-15,6.13E-14,7.12E-14,1.45E-13
GE71,5.38E-22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
GE71M,5.38E-22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
GE72,5.38E-22,1.68E-01,1.75E-01,5.78E-01,6.52E-01,1.09E+00,1.27E+00,1.43E+00
GE73,5.38E-22,2.45E-01,2.56E-01,7.71E-01,8.70E-01,1.31E+00,1.52E+00,1.64E+00
GE73M,5.38E-22,6.78E-10,0.00E+00,1.05E-09,0.00E+00,8.13E-10,0.00E+00,6.77E-10
GE74,5.38E-22,4.80E-01,5.01E-01,1.76E+00,1.99E+00,3.56E+00,4.13E+00,4.82E+00
GE75,5.38E-22,1.99E-05,0.00E+00,3.10E-05,0.00E+00,2.47E-05,0.00E+00,2.09E-05
GE75M,5.38E-22,9.23E-09,0.00E+00,1.43E-08,0.00E+00,1.11E-08,0.00E+00,9.31E-09
GE76,5.38E-22,1.49E+00,1.56E+00,5.25E+00,5.93E+00,1.01E+01,1.17E+01,1.34E+01
GE77,5.38E-22,2.38E-04,0.00E+00,3.84E-04,0.00E+00,3.11E-04,0.00E+00,2.65E-04
GE77M,5.38E-22,6.46E-07,0.00E+00,1.01E-06,0.00E+00,7.81E-07,0.00E+00,6.52E-07
GE78,5.38E-22,1.34E-04,0.00E+00,2.12E-04,0.00E+00,1.67E-04,0.00E+00,1.40E-04
GE79,5.38E-22,2.26E-06,0.00E+00,3.48E-06,0.00E+00,2.69E-06,0.00E+00,2.24E-06
GE80,5.38E-22,1.59E-06,0.00E+00,2.47E-06,0.00E+00,1.92E-06,0.00E+00,1.60E-06
GE81,5.38E-22,8.30E-07,0.00E+00,1.22E-06,0.00E+00,8.99E-07,0.00E+00,7.40E-07
GE82,5.38E-22,3.66E-07,0.00E+00,5.19E-07,0.00E+00,3.75E-07,0.00E+00,3.06E-07
GE83,5.38E-22,1.18E-07,0.00E+00,1.63E-07,0.00E+00,1.16E-07,0.00E+00,9.36E-08
GE84,5.38E-22,3.73E-08,0.00E+00,4.95E-08,0.00E+00,3.36E-08,0.00E+00,2.68E-08
GE85,5.38E-22,1.48E-09,0.00E+00,1.93E-09,0.00E+00,1.29E-09,0.00E+00,1.02E-09
GE86,5.38E-22,3.46E-10,0.00E+00,4.48E-10,0.00E+00,2.95E-10,0.00E+00,2.33E-10
GE87,5.38E-22,2.10E-11,0.00E+00,2.70E-11,0.00E+00,1.76E-11,0.00E+00,1.39E-11
GE88,5.38E-22,1.78E-12,0.00E+00,2.28E-12,0.00E+00,1.48E-12,0.00E+00,1.16E-12
AS75,5.38E-22,7.45E-01,7.78E-01,2.29E+00,2.59E+00,3.75E+00,4.35E+00,4.63E+00
AS76,5.38E-22,4.72E-05,0.00E+00,2.18E-04,0.00E+00,3.14E-04,0.00E+00,3.13E-04
AS77,5.38E-22,2.14E-03,0.00E+00,3.38E-03,0.00E+00,2.67E-03,0.00E+00,2.25E-03
AS78,5.38E-22,1.45E-04,0.00E+00,2.29E-04,0.00E+00,1.80E-04,0.00E+00,1.51E-04
AS79,5.38E-22,3.16E-05,0.00E+00,4.90E-05,0.00E+00,3.79E-05,0.00E+00,3.16E-05
AS80,5.38E-22,1.44E-06,0.00E+00,2.27E-06,0.00E+00,1.77E-06,0.00E+00,1.48E-06
AS81,5.38E-22,4.35E-06,0.00E+00,6.60E-06,0.00E+00,5.02E-06,0.00E+00,4.16E-06
AS82,5.38E-22,2.79E-06,0.00E+00,4.13E-06,0.00E+00,3.09E-06,0.00E+00,2.55E-06
AS82M,5.38E-22,6.96E-07,0.00E+00,1.09E-06,0.00E+00,8.53E-07,0.00E+00,7.13E-07
AS83,5.38E-22,3.48E-06,0.00E+00,5.24E-06,0.00E+00,3.97E-06,0.00E+00,3.29E-06
AS84,5.38E-22,1.25E-06,0.00E+00,1.80E-06,0.00E+00,1.32E-06,0.00E+00,1.09E-06
AS85,5.38E-22,2.10E-07,0.00E+00,2.94E-07,0.00E+00,2.09E-07,0.00E+00,1.70E-07
AS86,5.38E-22,4.79E-08,0.00E+00,6.48E-08,0.00E+00,4.48E-08,0.00E+00,3.60E-08
AS87,5.38E-22,5.61E-09,0.00E+00,7.37E-09,0.00E+00,4.94E-09,0.00E+00,3.93E-09
AS88,5.38E-22,5.83E-10,0.00E+00,7.55E-10,0.00E+00,4.97E-10,0.00E+00,3.93E-10
AS89,5.38E-22,7.40E-11,0.00E+00,9.53E-11,0.00E+00,6.23E-11,0.00E+00,4.90E-11
AS90,5.38E-22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
SE76,5.38E-22,5.65E-02,5.91E-02,5.07E-01,5.73E-01,1.58E+00,1.84E+00,2.38E+00
SE77,5.38E-22,2.79E+00,2.92E+00,8.82E+00,9.97E+00,1.46E+01,1.70E+01,1.81E+01
SE77M,5.38E-22,7.01E-10,0.00E+00,1.50E-09,0.00E+00,2.07E-09,0.00E+00,2.20E-09
SE78,5.38E-22,5.31E+00,5.54E+00,2.00E+01,2.26E+01,4.07E+01,4.73E+01,5.50E+01
SE79,5.38E-22,1.17E+01,1.22E+01,4.21E+01,4.75E+01,8.33E+01,9.68E+01,1.12E+02
SE79M,5.38E-22,1.37E-05,0.00E+00,2.13E-05,0.00E+00,1.66E-05,0.00E+00,1.39E-05
SE80,5.38E-22,1.73E+01,1.81E+01,6.09E+01,6.88E+01,1.16E+02,1.34E+02,1.52E+02
SE81,5.38E-22,1.64E-04,0.00E+00,2.59E-04,0.00E+00,2.08E-04,0.00E+00,1.77E-04
SE81M,5.38E-22,1.61E-05,0.00E+00,2.64E-05,0.00E+00,2.13E-05,0.00E+00,1.80E-05
SE82,5.38E-22,4.69E+01,4.90E+01,1.64E+02,1.86E+02,3.16E+02,3.67E+02,4.19E+02
SE83,5.38E-22,2.75E-04,0.00E+00,4.36E-04,0.00E+00,3.45E-04,0.00E+00,2.92E-04
SE83M,5.38E-22,1.92E-05,0.00E+00,2.98E-05,0.00E+00,2.30E-05,0.00E+00,1.92E-05
SE84,5.38E-22,1.39E-04,0.00E+00,2.14E-04,0.00E+00,1.65E-04,0.00E+00,1.38E-04
SE85,5.38E-22,1.34E-05,0.00E+00,2.03E-05,0.00E+00,1.55E-05,0.00E+00,1.28E-05
SE85M,5.38E-22,4.89E-06,0.00E+00,7.63E-06,0.00E+00,5.92E-06,0.00E+00,4.95E-06
SE86,5.38E-22,9.72E-06,0.00E+00,1.46E-05,0.00E+00,1.10E-05,0.00E+00,9.10E-06
SE87,5.38E-22,2.17E-06,0.00E+00,3.12E-06,0.00E+00,2.27E-06,0.00E+00,1.86E-06
SE88,5.38E-22,3.33E-07,0.00E+00,4.53E-07,0.00E+00,3.15E-07,0.00E+00,2.53E-07
