isotope,Batch1-charged (g),Batch1-discharged (g),Batch2-charged (g),Batch3-discharged (g),Batch4-charged (g),Batch4-discharged (g),Batch5-charged (g),Batch5-discharged (g),Batch6-charged (g),Batch8-discharged (g)
H3,4.837E-22,2.696E-01,5.907E-22,1.473E-01,5.200E-02,2.285E-01,8.313E-02,2.744E-01,1.022E-01,2.625E-01
HE4,4.837E-22,2.124E-01,5.907E-22,3.253E-01,1.327E+00,2.580E+00,4.617E+00,6.492E+00,9.411E+00,1.592E+01
LI6,4.837E-22,1.485E-03,5.907E-22,7.994E-04,4.181E-04,1.381E-03,7.438E-04,1.765E-03,9.743E-04,2.420E-03
LI7,4.837E-22,3.872E-05,5.907E-22,2.064E-05,1.080E-05,3.786E-05,2.040E-05,5.111E-05,2.822E-05,7.761E-05
BE9,4.837E-22,7.364E-05,5.907E-22,3.930E-05,2.056E-05,7.153E-05,3.853E-05,9.584E-05,5.288E-05,1.435E-04
BE10,4.837E-22,4.984E-04,5.907E-22,2.656E-04,1.389E-04,4.874E-04,2.626E-04,6.585E-04,3.634E-04,1.001E-03
C14,4.837E-22,1.007E-04,5.907E-22,5.370E-05,2.805E-05,9.849E-05,5.303E-05,1.330E-04,7.333E-05,2.019E-04
CO72,4.837E-22,3.035E-12,5.907E-22,1.542E-12,0.000E+00,1.779E-12,0.000E+00,1.863E-12,0.000E+00,5.889E-13
CO73,4.837E-22,8.086E-13,5.907E-22,2.545E-13,0.000E+00,2.937E-13,0.000E+00,3.075E-13,0.000E+00,9.726E-14
CO74,4.837E-22,1.559E-13,5.907E-22,6.503E-14,0.000E+00,7.506E-14,0.000E+00,7.863E-14,0.000E+00,2.485E-14
CO75,4.837E-22,1.435E-14,5.907E-22,4.609E-15,0.000E+00,5.319E-15,0.000E+00,5.570E-15,0.000E+00,1.761E-15
NI66,4.837E-22,0.000E+00,5.907E-22,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
NI72,4.837E-22,1.406E-09,5.907E-22,9.923E-10,0.000E+00,1.146E-09,0.000E+00,1.200E-09,0.000E+00,3.792E-10
NI73,4.837E-22,1.676E-10,5.907E-22,1.015E-10,0.000E+00,1.172E-10,0.000E+00,1.228E-10,0.000E+00,3.878E-11
NI74,4.837E-22,1.793E-10,5.907E-22,1.300E-10,0.000E+00,1.501E-10,0.000E+00,1.571E-10,0.000E+00,4.966E-11
NI75,4.837E-22,1.745E-11,5.907E-22,1.057E-11,0.000E+00,1.219E-11,0.000E+00,1.277E-11,0.000E+00,4.036E-12
NI76,4.837E-22,6.782E-12,5.907E-22,4.483E-12,0.000E+00,5.173E-12,0.000E+00,5.418E-12,0.000E+00,1.712E-12
NI77,4.837E-22,4.440E-13,5.907E-22,2.581E-13,0.000E+00,2.979E-13,0.000E+00,3.120E-13,0.000E+00,9.859E-14
NI78,4.837E-22,6.050E-14,5.907E-22,2.521E-14,0.000E+00,2.909E-14,0.000E+00,3.046E-14,0.000E+00,9.629E-15
CU66,4.837E-22,3.089E-12,5.907E-22,4.551E-12,0.000E+00,5.253E-12,0.000E+00,5.501E-12,0.000E+00,1.738E-12
CU67,4.837E-22,1.669E-16,5.907E-22,2.678E-16,0.000E+00,3.228E-16,0.000E+00,3.507E-16,0.000E+00,3.715E-17
CU72,4.837E-22,7.398E-09,5.907E-22,5.240E-09,0.000E+00,6.046E-09,0.000E+00,6.332E-09,0.000E+00,2.002E-09
CU73,4.837E-22,6.593E-09,5.907E-22,5.613E-09,0.000E+00,6.477E-09,0.000E+00,6.784E-09,0.000E+00,2.145E-09
CU74,4.837E-22,1.304E-09,5.907E-22,1.209E-09,0.000E+00,1.395E-09,0.000E+00,1.461E-09,0.000E+00,4.618E-10
