isotope,ST1-charged (g),ST1-discharged (g)
H3,0.00E+00,7.91E-02
HE4,0.00E+00,0.00E+00
LI6,0.00E+00,3.65E-04
LI7,0.00E+00,1.30E-05
BE9,0.00E+00,2.50E-05
BE10,0.00E+00,1.67E-04
C14,0.00E+00,3.37E-05
CO72,0.00E+00,1.03E-12
CO73,0.00E+00,3.02E-13
CO74,0.00E+00,5.21E-14
CO75,0.00E+00,5.13E-15
NI72,0.00E+00,4.41E-10
NI73,0.00E+00,5.75E-11
NI74,0.00E+00,5.30E-11
NI75,0.00E+00,5.87E-12
NI76,0.00E+00,2.32E-12
NI77,0.00E+00,1.44E-13
NI78,0.00E+00,2.24E-14
CU66,0.00E+00,2.16E-13
CU67,0.00E+00,9.82E-17
CU72,0.00E+00,2.26E-09
CU73,0.00E+00,1.97E-09
CU74,0.00E+00,3.49E-10
CU75,0.00E+00,4.57E-10
CU76,0.00E+00,1.02E-10
CU77,0.00E+00,5.97E-11
CU78,0.00E+00,8.80E-12
CU79,0.00E+00,2.84E-12
CU80,0.00E+00,1.88E-13
CU81,0.00E+00,1.10E-14
ZN66,0.00E+00,6.23E-08
ZN67,0.00E+00,2.42E-09
ZN68,0.00E+00,2.20E-11
ZN69,0.00E+00,2.98E-18
ZN69M,0.00E+00,2.90E-18
ZN72,0.00E+00,7.43E-05
ZN73,0.00E+00,1.97E-08
ZN74,0.00E+00,1.41E-07
ZN75,0.00E+00,2.46E-08
ZN76,0.00E+00,2.56E-08
ZN77,0.00E+00,7.16E-09
ZN78,0.00E+00,1.23E-08
ZN79,0.00E+00,1.18E-09
ZN80,0.00E+00,7.89E-10
ZN81,0.00E+00,3.12E-11
ZN82,0.00E+00,4.25E-12
ZN83,0.00E+00,2.42E-13
GA69,0.00E+00,2.08E-14
GA71,0.00E+00,1.61E-06
GA72,0.00E+00,2.26E-05
GA73,0.00E+00,1.55E-05
GA74,0.00E+00,7.73E-07
GA75,0.00E+00,3.74E-07
GA76,0.00E+00,1.94E-07
GA77,0.00E+00,1.63E-07
GA78,0.00E+00,1.10E-07
GA79,0.00E+00,7.18E-08
GA80,0.00E+00,4.18E-08
GA81,0.00E+00,9.73E-09
GA82,0.00E+00,7.95E-10
GA83,0.00E+00,2.07E-10
GA84,0.00E+00,1.80E-11
GE70,0.00E+00,5.49E-17
GE72,0.00E+00,3.24E-02
GE73,0.00E+00,6.38E-02
GE73M,0.00E+00,4.67E-10
GE74,0.00E+00,1.25E-01
GE75,0.00E+00,1.65E-05
GE75M,0.00E+00,7.34E-09
GE76,0.00E+00,5.95E-01
GE77,0.00E+00,2.29E-04
GE77M,0.00E+00,6.74E-07
GE78,0.00E+00,1.88E-04
GE79,0.00E+00,3.16E-06
GE80,0.00E+00,3.39E-06
GE81,0.00E+00,1.67E-06
GE82,0.00E+00,6.71E-07
GE83,0.00E+00,1.99E-07
GE84,0.00E+00,4.29E-08
GE85,0.00E+00,1.93E-09
GE86,0.00E+00,3.92E-10
GE87,0.00E+00,2.46E-11
GE88,0.00E+00,1.12E-12
AS75,0.00E+00,2.50E-01
AS76,0.00E+00,1.84E-05
AS77,0.00E+00,2.16E-03
AS78,0.00E+00,2.01E-04
AS79,0.00E+00,4.57E-05
AS80,0.00E+00,3.01E-06
AS81,0.00E+00,9.04E-06
AS82,0.00E+00,5.24E-06
AS82M,0.00E+00,1.35E-06
AS83,0.00E+00,6.06E-06
AS84,0.00E+00,2.20E-06
AS85,0.00E+00,4.33E-07
AS86,0.00E+00,9.97E-08
AS87,0.00E+00,1.49E-08
AS88,0.00E+00,5.79E-10
AS89,0.00E+00,5.94E-11
SE76,0.00E+00,6.75E-03
SE77,0.00E+00,1.20E+00
SE77M,0.00E+00,7.12E-10
SE78,0.00E+00,2.94E+00
SE79,0.00E+00,6.68E+00
SE79M,0.00E+00,1.98E-05
SE80,0.00E+00,1.48E+01
SE81,0.00E+00,3.36E-04
SE81M,0.00E+00,2.64E-05
SE82,0.00E+00,3.54E+01
SE83,0.00E+00,3.84E-04
SE83M,0.00E+00,2.92E-05
SE84,0.00E+00,2.35E-04
SE85,0.00E+00,2.64E-05
SE85M,0.00E+00,9.56E-06
SE86,0.00E+00,2.22E-05
SE87,0.00E+00,6.01E-06
SE88,0.00E+00,6.28E-07
SE89,0.00E+00,4.89E-08
SE90,0.00E+00,1.85E-08
SE91,0.00E+00,8.93E-10
SE92,0.00E+00,6.85E-11
BR79,0.00E+00,1.34E-04
BR79M,0.00E+00,5.19E-13
BR80,0.00E+00,5.26E-09
BR80M,0.00E+00,5.18E-08
BR81,0.00E+00,2.34E+01
BR82,0.00E+00,3.48E-03
BR82M,0.00E+00,3.74E-06
BR83,0.00E+00,6.17E-03
BR84,0.00E+00,2.35E-03
BR84M,0.00E+00,1.66E-05
BR85,0.00E+00,2.52E-04
BR86,0.00E+00,5.84E-05
BR86M,0.00E+00,4.79E-06
BR87,0.00E+00,1.35E-04
BR88,0.00E+00,4.12E-05
BR89,0.00E+00,7.76E-06
BR90,0.00E+00,1.69E-06
BR91,0.00E+00,2.19E-07
BR92,0.00E+00,1.43E-08
BR93,0.00E+00,1.63E-09
BR94,0.00E+00,7.70E-11
BR95,0.00E+00,6.26E-12
BR96,0.00E+00,2.26E-13
KR79,0.00E+00,9.81E-13
KR80,0.00E+00,3.23E-04
KR81,0.00E+00,3.18E-05
KR81M,0.00E+00,2.59E-12
KR82,0.00E+00,1.02E+00
KR83,0.00E+00,5.14E+01
KR83M,0.00E+00,4.73E-03
KR84,0.00E+00,1.12E+02
KR85,0.00E+00,2.37E+01
KR85M,0.00E+00,2.39E-02
KR86,0.00E+00,1.89E+02
KR87,0.00E+00,1.32E-02
KR88,0.00E+00,4.15E-02
KR89,0.00E+00,9.34E-04
KR90,0.00E+00,1.60E-04
KR91,0.00E+00,3.24E-05
KR92,0.00E+00,3.62E-06
KR93,0.00E+00,9.69E-07
KR94,0.00E+00,5.34E-08
KR95,0.00E+00,1.83E-08
KR96,0.00E+00,2.33E-09
KR97,0.00E+00,4.85E-11
KR98,0.00E+00,7.43E-12
RB85,0.00E+00,9.85E+01
RB86,0.00E+00,1.62E-02
RB86M,0.00E+00,7.02E-08
RB87,0.00E+00,2.41E+02
RB88,0.00E+00,4.41E-03
RB89,0.00E+00,4.83E-03
RB90,0.00E+00,7.94E-04
RB90M,0.00E+00,3.23E-04
RB91,0.00E+00,3.88E-04
RB92,0.00E+00,2.74E-05
RB93,0.00E+00,2.82E-05
RB94,0.00E+00,7.27E-06
RB95,0.00E+00,4.73E-07
RB96,0.00E+00,8.27E-08
RB97,0.00E+00,1.35E-08
RB98,0.00E+00,2.21E-09
RB99,0.00E+00,1.20E-10
RB100,0.00E+00,1.30E-11
SR86,0.00E+00,3.72E-01
SR87,0.00E+00,3.33E-03
SR87M,0.00E+00,2.98E-07
SR88,0.00E+00,3.41E+02
SR89,0.00E+00,2.37E+01
SR90,0.00E+00,5.15E+02
SR91,0.00E+00,2.47E-01
SR92,0.00E+00,7.97E-02
SR93,0.00E+00,4.35E-03
SR94,0.00E+00,7.12E-04
SR95,0.00E+00,2.33E-04
SR96,0.00E+00,2.58E-05
SR97,0.00E+00,7.07E-07
