isotope,ST1-DF-charged (g),ST1-DF-discharged (g),ST1-BB-charged (g),ST1-BB-discharged (g)
H3,0.000E+00,1.763E-01,0.000E+00,5.336E-02
HE4,0.000E+00,1.711E+00,0.000E+00,1.327E-01
LI6,0.000E+00,9.708E-04,0.000E+00,3.052E-04
LI7,0.000E+00,2.461E-05,0.000E+00,7.518E-06
BE9,0.000E+00,4.696E-05,0.000E+00,1.441E-05
BE10,0.000E+00,3.166E-04,0.000E+00,9.674E-05
C14,0.000E+00,6.401E-05,0.000E+00,1.955E-05
CO72,0.000E+00,4.100E-12,0.000E+00,9.277E-13
CO73,0.000E+00,1.235E-12,0.000E+00,2.857E-13
CO74,0.000E+00,2.078E-13,0.000E+00,5.075E-14
CO75,0.000E+00,2.057E-14,0.000E+00,5.036E-15
NI72,0.000E+00,1.870E-09,0.000E+00,3.823E-10
NI73,0.000E+00,2.121E-10,0.000E+00,4.658E-11
NI74,0.000E+00,1.856E-10,0.000E+00,4.440E-11
NI75,0.000E+00,2.004E-11,0.000E+00,4.836E-12
NI76,0.000E+00,7.260E-12,0.000E+00,1.772E-12
NI77,0.000E+00,4.976E-13,0.000E+00,1.250E-13
NI78,0.000E+00,7.927E-14,0.000E+00,1.968E-14
CU66,0.000E+00,4.194E-13,0.000E+00,1.490E-13
CU67,0.000E+00,3.975E-17,0.000E+00,4.496E-18
CU72,0.000E+00,1.189E-08,0.000E+00,2.243E-09
CU73,0.000E+00,7.209E-09,0.000E+00,1.486E-09
CU74,0.000E+00,1.225E-09,0.000E+00,2.716E-10
CU75,0.000E+00,1.370E-09,0.000E+00,3.138E-10
CU76,0.000E+00,2.513E-10,0.000E+00,5.933E-11
CU77,0.000E+00,1.536E-10,0.000E+00,3.867E-11
CU78,0.000E+00,2.121E-11,0.000E+00,5.279E-12
CU79,0.000E+00,1.025E-11,0.000E+00,2.538E-12
CU80,0.000E+00,6.562E-13,0.000E+00,1.625E-13
CU81,0.000E+00,4.370E-14,0.000E+00,1.092E-14
ZN66,0.000E+00,9.896E-08,0.000E+00,9.494E-08
ZN67,0.000E+00,4.243E-09,0.000E+00,4.009E-09
ZN68,0.000E+00,2.119E-11,0.000E+00,1.588E-11
ZN69,0.000E+00,1.674E-18,0.000E+00,3.998E-19
ZN69M,0.000E+00,1.630E-18,0.000E+00,3.892E-19
ZN72,0.000E+00,4.356E-04,0.000E+00,8.017E-05
ZN73,0.000E+00,8.624E-08,0.000E+00,1.660E-08
ZN74,0.000E+00,5.959E-07,0.000E+00,1.192E-07
ZN75,0.000E+00,8.185E-08,0.000E+00,1.671E-08
ZN76,0.000E+00,6.564E-08,0.000E+00,1.384E-08
ZN77,0.000E+00,1.657E-08,0.000E+00,3.811E-09
ZN78,0.000E+00,2.039E-08,0.000E+00,4.893E-09
ZN79,0.000E+00,3.014E-09,0.000E+00,7.332E-10
ZN80,0.000E+00,1.788E-09,0.000E+00,4.404E-10
ZN81,0.000E+00,8.856E-11,0.000E+00,2.229E-11
ZN82,0.000E+00,1.374E-11,0.000E+00,3.442E-12
ZN83,0.000E+00,8.540E-13,0.000E+00,2.138E-13
GA69,0.000E+00,1.156E-14,0.000E+00,6.859E-15
GA71,0.000E+00,1.596E-05,0.000E+00,4.445E-06
GA72,0.000E+00,1.328E-04,0.000E+00,2.444E-05
GA73,0.000E+00,6.912E-05,0.000E+00,1.320E-05
GA74,0.000E+00,3.373E-06,0.000E+00,6.658E-07
GA75,0.000E+00,1.328E-06,0.000E+00,2.633E-07
GA76,0.000E+00,5.706E-07,0.000E+00,1.133E-07
