isotope,ST1-charged (g),ST1-discharged (g),ST2-charged (g),ST2-discharged (g)
H3,0.000E+00,0.000E+00,6.861E-08,6.551E-02
LI6,0.000E+00,0.000E+00,0.000E+00,3.081E-10
LI7,0.000E+00,0.000E+00,0.000E+00,2.750E-11
BE9,0.000E+00,0.000E+00,0.000E+00,2.570E-06
BE10,0.000E+00,0.000E+00,0.000E+00,1.391E-04
C14,0.000E+00,0.000E+00,2.280E-10,3.861E-04
CO72,0.000E+00,9.273E-14,0.000E+00,0.000E+00
CO73,0.000E+00,2.232E-15,0.000E+00,0.000E+00
CO74,0.000E+00,3.942E-15,0.000E+00,0.000E+00
CO75,0.000E+00,7.905E-16,0.000E+00,0.000E+00
NI72,0.000E+00,1.701E-10,0.000E+00,0.000E+00
NI73,0.000E+00,2.372E-12,0.000E+00,0.000E+00
NI74,0.000E+00,6.534E-12,0.000E+00,0.000E+00
NI75,0.000E+00,7.495E-13,0.000E+00,0.000E+00
NI76,0.000E+00,3.392E-13,0.000E+00,0.000E+00
NI77,0.000E+00,4.663E-14,0.000E+00,0.000E+00
NI78,0.000E+00,1.091E-14,0.000E+00,0.000E+00
CU72,0.000E+00,2.061E-09,0.000E+00,0.000E+00
CU73,0.000E+00,5.354E-10,0.000E+00,0.000E+00
CU74,0.000E+00,1.371E-10,0.000E+00,0.000E+00
CU75,0.000E+00,1.101E-10,0.000E+00,0.000E+00
CU76,0.000E+00,1.771E-11,0.000E+00,0.000E+00
CU77,0.000E+00,1.421E-11,0.000E+00,0.000E+00
CU78,0.000E+00,2.682E-12,0.000E+00,0.000E+00
CU79,0.000E+00,7.625E-13,0.000E+00,0.000E+00
CU80,0.000E+00,1.361E-13,0.000E+00,0.000E+00
CU81,0.000E+00,1.221E-14,0.000E+00,0.000E+00
ZN66,0.000E+00,0.000E+00,0.000E+00,1.580E-04
ZN67,0.000E+00,0.000E+00,0.000E+00,4.341E-04
ZN68,0.000E+00,0.000E+00,0.000E+00,8.682E-04
ZN70,0.000E+00,0.000E+00,0.000E+00,4.251E-03
ZN72,0.000E+00,8.859E-05,0.000E+00,0.000E+00
ZN73,0.000E+00,1.491E-08,0.000E+00,0.000E+00
ZN74,0.000E+00,1.241E-07,0.000E+00,0.000E+00
ZN75,0.000E+00,1.471E-08,0.000E+00,0.000E+00
ZN76,0.000E+00,1.110E-08,0.000E+00,0.000E+00
ZN77,0.000E+00,2.772E-09,0.000E+00,0.000E+00
ZN78,0.000E+00,3.112E-09,0.000E+00,0.000E+00
ZN79,0.000E+00,2.461E-10,0.000E+00,0.000E+00
ZN80,0.000E+00,3.152E-10,0.000E+00,0.000E+00
ZN81,0.000E+00,2.092E-11,0.000E+00,0.000E+00
ZN82,0.000E+00,3.932E-12,0.000E+00,0.000E+00
ZN83,0.000E+00,2.262E-13,0.000E+00,0.000E+00
