isotope,ST1-DF-charged (g),ST1-DF-discharged (g),ST1-BB-charged (g),ST1-BB-discharged (g),ST2-charged (g),ST2-discharged (g)
H3,0.000E+00,1.649E-01,0.000E+00,2.632E-02,0.000E+00,1.023E-01
HE4,0.000E+00,1.914E+00,0.000E+00,3.780E-02,0.000E+00,1.090E+01
LI6,0.000E+00,9.076E-04,0.000E+00,1.402E-04,0.000E+00,2.275E-04
LI7,0.000E+00,2.287E-05,0.000E+00,3.391E-06,0.000E+00,1.491E-05
BE9,0.000E+00,4.366E-05,0.000E+00,6.509E-06,0.000E+00,2.867E-05
BE10,0.000E+00,2.941E-04,0.000E+00,4.361E-05,0.000E+00,1.915E-04
C14,0.000E+00,5.945E-05,0.000E+00,8.813E-06,0.000E+00,3.871E-05
CO72,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.094E-12
CO73,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.454E-13
CO74,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.815E-14
CO75,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.820E-15
NI72,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.282E-10
NI73,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.837E-11
NI74,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.116E-11
NI75,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.795E-12
NI76,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.166E-12
NI77,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.447E-13
NI78,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.314E-14
CU66,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.377E-14
CU67,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.564E-17
CU72,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.224E-09
CU73,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.771E-09
CU74,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.023E-10
CU75,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.882E-10
CU76,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.678E-11
CU77,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.704E-11
CU78,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.903E-12
CU79,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.035E-12
CU80,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.917E-13
CU81,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.213E-14
ZN66,0.000E+00,9.500E-08,0.000E+00,1.414E-08,0.000E+00,1.854E-08
ZN67,0.000E+00,4.110E-09,0.000E+00,6.039E-10,0.000E+00,5.546E-10
ZN68,0.000E+00,1.908E-11,0.000E+00,1.252E-12,0.000E+00,1.009E-11
ZN69,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.338E-18
ZN69M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.276E-18
ZN72,0.000E+00,3.454E-09,0.000E+00,8.611E-10,0.000E+00,7.560E-05
ZN73,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.814E-08
ZN74,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.290E-07
ZN75,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.134E-08
ZN76,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.870E-08
ZN77,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.995E-09
ZN78,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.566E-09
ZN79,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.909E-10
ZN80,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.941E-10
ZN81,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.710E-11
ZN82,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.089E-12
ZN83,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.460E-13
GA69,0.000E+00,1.046E-14,0.000E+00,3.353E-16,0.000E+00,1.918E-14
GA70,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.362E-21
GA71,0.000E+00,1.509E-05,0.000E+00,1.856E-06,0.000E+00,1.899E-06
GA72,0.000E+00,1.503E-09,0.000E+00,3.746E-10,0.000E+00,2.303E-05
GA73,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.449E-05
GA74,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.210E-07
GA75,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.421E-07
GA76,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.566E-07
GA77,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.255E-07
GA78,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.524E-08
