isotope,ST1-charged (g),ST1-discharged (g),ST2-DF-charged (g),ST2-DF-discharged (g),ST2-BB-charged (g),ST2-BB-discharged (g),ST3-charged (g),ST3-discharged (g)
H3,0.000E+00,8.545E-02,0.000E+00,2.139E-01,0.000E+00,3.491E-02,0.000E+00,1.024E-01
HE4,0.000E+00,9.174E-01,0.000E+00,5.393E+01,0.000E+00,2.292E-02,0.000E+00,8.511E-01
LI6,0.000E+00,2.419E-04,0.000E+00,1.226E-03,0.000E+00,1.830E-04,0.000E+00,2.203E-04
LI7,0.000E+00,1.549E-05,0.000E+00,3.073E-05,0.000E+00,4.407E-06,0.000E+00,1.708E-05
BE9,0.000E+00,2.979E-05,0.000E+00,5.876E-05,0.000E+00,8.467E-06,0.000E+00,3.294E-05
BE10,0.000E+00,1.989E-04,0.000E+00,3.956E-04,0.000E+00,5.668E-05,0.000E+00,2.203E-04
C14,0.000E+00,4.019E-05,0.000E+00,7.996E-05,0.000E+00,1.146E-05,0.000E+00,4.448E-05
CO72,0.000E+00,1.180E-12,0.000E+00,3.769E-12,0.000E+00,1.183E-12,0.000E+00,0.000E+00
CO73,0.000E+00,3.659E-13,0.000E+00,1.094E-12,0.000E+00,3.994E-14,0.000E+00,0.000E+00
CO74,0.000E+00,6.606E-14,0.000E+00,1.720E-13,0.000E+00,2.075E-14,0.000E+00,0.000E+00
CO75,0.000E+00,6.587E-15,0.000E+00,1.680E-14,0.000E+00,2.469E-15,0.000E+00,0.000E+00
NI72,0.000E+00,4.480E-10,0.000E+00,1.872E-09,0.000E+00,1.808E-09,0.000E+00,0.000E+00
NI73,0.000E+00,6.146E-11,0.000E+00,2.059E-10,0.000E+00,2.125E-11,0.000E+00,0.000E+00
NI74,0.000E+00,6.027E-11,0.000E+00,1.636E-10,0.000E+00,6.299E-11,0.000E+00,0.000E+00
NI75,0.000E+00,6.817E-12,0.000E+00,1.725E-11,0.000E+00,6.894E-12,0.000E+00,0.000E+00
NI76,0.000E+00,2.629E-12,0.000E+00,6.244E-12,0.000E+00,1.924E-12,0.000E+00,0.000E+00
NI77,0.000E+00,1.749E-13,0.000E+00,4.052E-13,0.000E+00,6.150E-14,0.000E+00,0.000E+00
NI78,0.000E+00,2.759E-14,0.000E+00,6.407E-14,0.000E+00,1.289E-14,0.000E+00,0.000E+00
CU66,0.000E+00,1.150E-13,0.000E+00,5.236E-13,0.000E+00,7.571E-12,0.000E+00,0.000E+00
CU67,0.000E+00,1.210E-16,0.000E+00,3.465E-17,0.000E+00,3.018E-16,0.000E+00,0.000E+00
CU72,0.000E+00,2.199E-09,0.000E+00,1.207E-08,0.000E+00,1.647E-08,0.000E+00,0.000E+00
CU73,0.000E+00,1.889E-09,0.000E+00,7.431E-09,0.000E+00,3.907E-09,0.000E+00,0.000E+00
CU74,0.000E+00,3.598E-10,0.000E+00,1.160E-09,0.000E+00,1.097E-09,0.000E+00,0.000E+00
CU75,0.000E+00,4.760E-10,0.000E+00,1.274E-09,0.000E+00,1.509E-09,0.000E+00,0.000E+00
CU76,0.000E+00,1.020E-10,0.000E+00,2.351E-10,0.000E+00,2.115E-10,0.000E+00,0.000E+00
CU77,0.000E+00,6.338E-11,0.000E+00,1.336E-10,0.000E+00,4.271E-11,0.000E+00,0.000E+00
CU78,0.000E+00,9.355E-12,0.000E+00,1.832E-11,0.000E+00,5.817E-12,0.000E+00,0.000E+00
CU79,0.000E+00,3.548E-12,0.000E+00,8.236E-12,0.000E+00,1.166E-12,0.000E+00,0.000E+00
CU80,0.000E+00,2.319E-13,0.000E+00,5.284E-13,0.000E+00,1.118E-13,0.000E+00,0.000E+00
CU81,0.000E+00,1.429E-14,0.000E+00,3.430E-14,0.000E+00,8.060E-15,0.000E+00,0.000E+00
ZN66,0.000E+00,5.347E-08,0.000E+00,1.622E-07,0.000E+00,1.222E-06,0.000E+00,1.931E-07
ZN67,0.000E+00,2.229E-09,0.000E+00,5.876E-09,0.000E+00,9.769E-08,0.000E+00,0.000E+00
ZN68,0.000E+00,2.129E-03,0.000E+00,2.567E-11,0.000E+00,1.786E-10,0.000E+00,3.422E-03
ZN69,0.000E+00,5.128E-10,0.000E+00,1.416E-18,0.000E+00,6.597E-18,0.000E+00,0.000E+00
ZN69M,0.000E+00,4.986E-10,0.000E+00,1.378E-18,0.000E+00,6.422E-18,0.000E+00,0.000E+00
ZN70,0.000E+00,7.577E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.689E-02
ZN71,0.000E+00,3.159E-12,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
ZN71M,0.000E+00,3.249E-11,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
ZN72,0.000E+00,7.266E-05,0.000E+00,4.398E-04,0.000E+00,6.190E-04,0.000E+00,1.339E-04
