isotope,ST1-discharged (g)
H1,0.000E+00
H2,0.000E+00
H3,9.076E-02
HE3,0.000E+00
HE4,9.743E-01
LI6,1.025E-06
LI7,2.723E-04
BE9,1.943E-04
BE10,4.854E-05
B10,0.000E+00
B11,0.000E+00
C12,0.000E+00
C13,0.000E+00
C14,4.267E-05
SI28,0.000E+00
SI29,0.000E+00
SI30,0.000E+00
SI32,0.000E+00
P31,0.000E+00
P32,0.000E+00
S32,0.000E+00
S33,0.000E+00
S34,0.000E+00
S35,0.000E+00
S36,0.000E+00
CL35,0.000E+00
CL36,0.000E+00
CL37,0.000E+00
AR36,0.000E+00
AR37,0.000E+00
AR38,0.000E+00
AR39,0.000E+00
AR40,0.000E+00
K39,0.000E+00
K40,0.000E+00
K41,0.000E+00
CA40,0.000E+00
CA41,0.000E+00
CA42,0.000E+00
CA43,0.000E+00
CA44,0.000E+00
CA45,0.000E+00
CA46,0.000E+00
CA48,0.000E+00
SC45,0.000E+00
SC46,0.000E+00
V50,0.000E+00
V51,0.000E+00
CR50,0.000E+00
CR51,0.000E+00
CR52,0.000E+00
CR53,0.000E+00
CR54,0.000E+00
MN54,0.000E+00
MN55,0.000E+00
FE54,0.000E+00
FE55,0.000E+00
FE56,0.000E+00
FE57,0.000E+00
FE58,0.000E+00
FE59,0.000E+00
CO58,0.000E+00
CO59,0.000E+00
CO60,0.000E+00
NI58,0.000E+00
NI59,0.000E+00
NI60,0.000E+00
NI61,0.000E+00
NI62,0.000E+00
NI63,0.000E+00
NI64,0.000E+00
ZN64,1.916E+01
ZN65,9.042E-05
ZN66,1.134E+01
ZN67,1.660E+00
ZN68,7.883E+00
ZN70,2.762E-01
SE76,1.812E-02
SE77,1.756E+00
SE78,4.387E+00
SE79,1.048E+01
SE80,2.388E+01
SE82,5.983E+01
KR80,4.254E-04
KR81,5.850E-05
KR82,2.924E+00
KR83,6.216E+01
KR84,2.118E+02
KR85,2.795E+01
KR86,3.358E+02
RB85,1.867E+02
RB87,4.302E+02
SR86,1.448E+00
SR87,1.784E-02
SR88,6.184E+02
SR89,2.957E-10
SR90,8.047E+02
Y89,8.039E+02
Y90,2.019E-01
Y91,1.467E-08
ZR90,2.796E+03
ZR91,6.329E+02
ZR92,9.759E+02
ZR93,3.214E+01
ZR94,1.014E+03
ZR95,3.719E-09
ZR96,1.920E+02
NB93,3.926E+01
NB93M,2.259E-04
NB94,5.265E-01
NB95,1.140E-08
NB95M,3.908E-12
MO92,5.706E+01
MO93,3.075E-02
MO94,3.660E+01
MO95,1.378E+03
MO96,2.072E+02
MO97,1.517E+03
MO98,1.552E+03
MO100,1.717E+03
TC98,1.625E-02
TC99,1.278E+03
RU99,3.252E-02
RU100,3.287E+02
RU101,1.351E+03
RU102,1.454E+03
RU103,4.782E-13
RU104,1.006E+03
RU106,6.697E+00
RH102,6.027E-04
RH103,6.022E+02
RH103M,4.277E-16
RH106,6.295E-06
PD104,6.569E+02
PD105,7.007E+02
PD106,6.941E+02
PD107,4.129E+02
PD108,2.828E+02
PD110,9.513E+01
AG107,4.022E-02
AG108,2.246E-12
AG108M,7.109E-04
AG109,1.213E+02
AG109M,3.875E-11
AG110,1.803E-10
AG110M,1.190E-02
CD106,3.061E-01
CD108,2.242E-01
CD109,3.924E-05
CD110,1.126E+02
CD111,5.688E+01
CD112,3.840E+01
CD113,1.861E-01
CD113M,4.365E-01
CD114,5.135E+01
CD115M,3.711E-14
CD116,1.674E+01
IN113,1.157E+00
IN113M,9.981E-10
IN114,1.350E-18
IN114M,8.394E-14
IN115,2.472E+00
IN115M,1.032E-20
SN112,1.313E+00
SN113,5.805E-08
SN114,9.318E-01
SN115,4.736E-01
SN116,2.074E+01
SN117,1.169E+01
SN118,3.496E+01
SN119,1.338E+01
SN119M,3.500E-04
SN120,4.757E+01
SN121M,7.879E-04
SN122,7.366E+00
SN123,9.915E-07
SN124,9.042E+00
SN126,1.744E+00
SB121,1.717E+01
SB123,1.803E+01
SB124,1.248E-10
SB125,6.450E+00
SB126,2.373E-06
SB126M,1.803E-08
TE122,2.229E+00
TE123,4.152E-02
TE123M,2.113E-07
TE124,1.512E+00
TE125,3.175E+01
TE125M,9.024E-02
TE126,1.783E+00
TE127,5.153E-08
TE127M,1.472E-05
TE128,2.008E+02
TE129,6.204E-20
TE129M,6.625E-17
TE130,6.437E+02
I127,9.590E+01
I129,3.134E+02
XE127,5.272E-21
XE128,1.066E+01
XE129,9.972E-02
XE130,3.485E+01
XE131,5.730E+02
XE132,2.158E+03
XE134,2.650E+03
XE136,4.011E+03
CS133,1.781E+03
CS134,5.713E+01
CS135,7.717E+02
CS137,1.862E+03
BA132,4.696E-03
BA134,4.442E+02
BA135,2.669E+00
BA136,6.495E+01
BA137,3.655E+02
BA137M,2.850E-04
BA138,2.297E+03
LA138,8.067E-03
LA139,2.173E+03
CE140,2.226E+03
CE142,2.021E+03
CE144,4.004E+00
PR141,1.976E+03
PR144,1.690E-04
PR144M,8.451E-07
ND142,8.086E+01
ND143,1.164E+03
ND144,2.599E+03
ND145,1.101E+03
ND146,1.348E+03
ND148,6.607E+02
ND150,3.204E+02
PM146,5.612E-03
PM147,3.475E+01
PM148,4.722E-16
PM148M,6.447E-14
SM146,2.155E-02
SM147,2.075E+02
SM148,4.088E+02
SM149,4.062E+00
SM150,5.265E+02
SM151,2.168E+01
SM152,1.831E+02
SM154,6.964E+01
EU150,6.604E-07
EU151,8.672E-01
EU152,4.915E-02
EU153,2.269E+02
EU154,5.670E+01
EU155,1.648E+01
GD152,1.190E-01
GD153,6.901E-05
GD154,3.899E+01
GD155,1.694E+01
GD156,2.120E+02
GD157,2.497E-01
GD158,4.743E+01
GD160,2.970E+00
TB159,5.166E+00
TB160,5.261E-09
HO165,4.392E-01
HO166M,6.681E-03
TM169,1.565E-04
TM170,1.576E-09
TM171,6.572E-07
LU175,1.414E-02
LU176,5.766E-04
LU177,5.645E-12
LU177M,5.671E-10
HF174,7.334E-03
HF175,1.228E-11
HF176,4.626E-01
HF177,7.627E-02
HF178,1.431E+00
HF179,6.579E+00
HF180,1.088E+01
HF181,4.165E-15
HF182,2.852E-03
TA181,4.980E-01
TA182,2.030E-07
W180,7.451E-03
W181,6.151E-09
W182,1.030E+00
W183,1.573E+00
W184,2.706E+00
W185,2.015E-10
W186,1.140E+00
W188,2.205E-12
RE185,2.308E-02
RE187,7.357E-01
RE188,2.271E-14
IR191,1.751E-05
IR192,6.792E-12
IR192M,7.856E-09
PT192,1.539E-05
PT193,2.174E-07
TL206,1.286E-16
TL207,4.097E-14
TL208,8.963E-11
TL209,6.076E-17
PB204,1.373E-02
PB205,4.956E-05
PB206,2.208E-01
PB207,2.393E-01
PB208,5.267E-01
PB209,2.532E-13
PB210,5.401E-10
PB211,3.170E-13
PB212,5.286E-08
PB214,7.477E-15
BI208,7.953E-06
BI209,4.000E-01
BI210,3.325E-13
BI210M,4.957E-05
BI211,1.870E-14
BI212,5.015E-09
BI213,5.948E-14
BI214,5.552E-15
PO210,1.066E-09
PO211,2.295E-19
PO212,2.653E-19
PO213,8.923E-23
PO214,7.639E-22
PO215,2.654E-19
PO216,2.110E-13
PO218,8.670E-16
AT217,7.146E-19
RN219,6.014E-16
RN220,7.964E-11
RN222,1.594E-12
FR221,6.489E-15
FR223,2.787E-15
RA223,1.527E-10
RA224,4.612E-07
RA225,2.934E-11
RA226,2.480E-07
RA228,2.537E-13
AC225,1.982E-11
AC227,1.080E-07
AC228,2.649E-17
TH227,2.511E-10
TH228,8.946E-05
TH229,5.407E-06
TH230,5.078E-03
TH231,2.185E-08
TH232,1.570E-03
TH234,1.322E-05
PA231,8.949E-04
PA233,4.078E-05
PA234,1.992E-10
PA234M,4.458E-10
U232,4.622E-03
U233,4.296E-03
U234,2.001E+02
U235,5.372E+03
U236,6.234E+03
U237,3.893E-05
U238,9.106E+05
U240,2.415E-12
NP235,5.341E-07
NP236,1.248E-03
NP237,1.200E+03
NP238,6.111E-07
NP239,2.333E-04
NP240M,2.112E-14
PU236,1.153E-03
PU237,8.381E-16
PU238,5.994E+02
PU239,7.421E+03
PU240,4.023E+03
PU241,1.257E+03
PU242,8.175E+02
PU243,1.163E-12
PU244,1.262E-01
AM241,4.104E+02
AM242,3.899E-05
AM242M,3.259E+00
AM243,2.714E+02
AM244,1.760E-16
CM241,1.291E-21
CM242,1.859E-02
CM243,1.147E+00
CM244,1.369E+02
CM245,9.559E+00
CM246,1.879E+00
CM247,3.262E-02
CM248,3.323E-03
BK249,8.695E-07
CF249,5.221E-05
CF250,1.040E-05
CF251,6.776E-06
CF252,1.881E-06
