name,mox
id,snf
pkg_diameter,0.72
pkg_length,5
n_wf,3
5,10338
5.1,10251
5.5,9948
5.75,9786
6,9642
8,8889
10,8466
11.5,8232
15,7806
20,7323
23,7071
25,6915
30,6552
35,6228
40,5940
45,5679
50,5442
60,5037
70,4698
80,4413
90,4170
100,3957
125,3537
150,3213
175,2954.7
200,2740.2
225,2558.1
250,2400.6
300,2141.4
350,1935.6
400,1767.6
450,1626.9
500,1506.6
600,1309.8
700,1154.1
800,1026.3
900,919.5
1000,829.5
1250,658.5
1500,542.7
1750,462.9
2000,407.7
2250,368.7
2500,340.8
3000,304.5
4000,266.64
5000,243.6
6000,224.94
7000,208.41
8000,193.5
9000,179.94
10000,167.58
20000,89.64
50000,28.713
100000,11.55
200000,7.665
500000,6.144
1000000,4.008
