name,uox
id,snf
pkg_diameter,0.72
pkg_length,5
n_wf,2
5,3392
5.1,3340
5.5,3156
5.75,3058
6,2968
8,2498
10,2244
11.5,2116
15,1906.6
20,1699.8
23,1598
25,1535.8
30,1396
35,1274.2
40,1167.2
45,1072.8
50,989
60,848.4
70,736.4
80,646.4
90,573.6
100,514.4
125,407.8
150,339.4
175,293.6
200,260.8
225,236.6
250,217.6
300,189.5
350,169.3
400,153.8
450,141.38
500,131.1
600,114.9
700,102.46
800,92.48
900,84.22
1000,77.28
1250,64.1
1500,55.1
1750,48.86
2000,44.44
2250,41.28
2500,38.94
3000,35.76
4000,32.08
5000,29.6
6000,27.5
7000,25.62
8000,23.92
9000,22.38
10000,20.96
20000,11.842
50000,4.128
100000,1.6722
200000,1.0928
500000,0.871
1000000,0.5792
