name,ecm
id,hlw
pkg_diameter,0.61
pkg_length,3.3
n_wf,1
5,2961
5.1,2836
5.5,2426
5.75,2229
6,2067
8,1442
10,1233
11.5,1139
15,978.6
20,812.4
23,733.7
25,687.7
30,589.8
35,510.8
40,445.4
45,390.3
50,343.4
60,267.9
70,210.4
80,165.8
90,131
100,103.5
125,57.7
150,32.19
175,17.97
200,10.03
225,5.601
250,3.128
300,0.9757
350,0.3048
400,0.09563
450,0.03037
500,0.01001
600,0.001675
700,0.0008622
800,0.0007829
900,0.0007751
1000,0.0007743
1250,0.0007742
1500,0.0007741
1750,0.0007741
2000,0.000774
2250,0.000774
2500,0.0007739
3000,0.0007738
4000,0.0007736
5000,0.0007733
6000,0.0007731
7000,0.0007729
8000,0.0007727
9000,0.0007724
10000,0.0007722
20000,0.00077
50000,0.0007633
100000,0.0007522
200000,0.0007306
500000,0.0006696
1000000,0.0005793
