name,mox
id,snf
pkg_diameter,0.31
pkg_length,5
n_wf,1
5,3446
5.1,3417
5.5,3316
5.75,3262
6,3214
8,2963
10,2822
11.5,2744
15,2602
20,2441
23,2357
25,2305
30,2184
35,2076
40,1980
45,1893
50,1814
60,1679
70,1566
80,1471
90,1390
100,1319
125,1179
150,1071
175,984.9
200,913.4
225,852.7
250,800.2
300,713.8
350,645.2
400,589.2
450,542.3
500,502.2
600,436.6
700,384.7
800,342.1
900,306.5
1000,276.5
1250,219.5
1500,180.9
1750,154.3
2000,135.9
2250,122.9
2500,113.6
3000,101.5
4000,88.88
5000,81.2
6000,74.98
7000,69.47
8000,64.5
9000,59.98
10000,55.86
20000,29.88
50000,9.571
100000,3.85
200000,2.555
500000,2.048
1000000,1.336
